tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000261349.1	ASD	114	3.62938891356813e-06	0.928753473806809	2.10372375949355e-07	0.0538164503775899	0.0174262360543122
Brain_Amygdala	ENSG00000261349.1	ADHD	95	2.55419516344531e-06	0.666079279488708	2.57530221149472e-07	0.06689132788032	0.267026580905589
Brain_Amygdala	ENSG00000261349.1	F3	56	0.0185892341654103	0.0362301833687751	0.0221104361866179	0.0422121037372036	0.880858042541993
Brain_Amygdala	ENSG00000187010.21	ASD	196	8.19437702643947e-26	0.913108531958602	6.26688247001549e-27	0.0698154913275438	0.0170759767138511
Brain_Amygdala	ENSG00000187010.21	ADHD	157	6.55642937584343e-26	0.658561539066174	8.87751201019918e-27	0.0889177828113916	0.252520678122431
Brain_Amygdala	ENSG00000187010.21	F3	81	1.96824487438599e-12	0.0303844295533099	2.78643891215241e-12	0.0420876262842041	0.927527944157732
Brain_Amygdala	ENSG00000188672.19	ASD	193	2.79382745401706e-24	0.609867738626135	2.13544374114537e-25	0.0462709804303126	0.343861280943555
Brain_Amygdala	ENSG00000188672.19	ADHD	154	2.51378962380574e-24	0.462234875636087	3.40303978557883e-25	0.0620993268420865	0.475665797521827
Brain_Amygdala	ENSG00000188672.19	F3	81	7.39603103210092e-25	0.0362901067815867	1.0470541004082e-24	0.0504625580731748	0.913247335145236
Brain_Amygdala	ENSG00000157978.12	ASD	37	2.04290054918598e-23	0.992547507517982	8.197803160785e-27	0.000391230720567417	0.00706126176145184
Brain_Amygdala	ENSG00000157978.12	ADHD	32	2.49390219404478e-23	0.994096575718482	4.64805796401257e-27	0.000179552781160663	0.00572387150035832
Brain_Amygdala	ENSG00000158022.7	ASD	37	0.398356846347834	0.595821377903049	0.00013576679669165	0.00019757764027651	0.00548843131214951
Brain_Amygdala	ENSG00000158022.7	ADHD	37	0.39075894061112	0.584457208549038	0.000575275563612026	0.000837066769704918	0.0233715085065249
Brain_Amygdala	ENSG00000142675.18	ASD	62	0.522676492415991	0.471505409426106	0.000352581458928559	0.000312910416563186	0.00515260628241163
Brain_Amygdala	ENSG00000142675.18	ADHD	60	0.527600924180741	0.457776694425994	0.00100386014870357	0.000858246122854349	0.0127602751217074
Brain_Amygdala	ENSG00000133059.17	ASD	236	0.000709403339888074	0.986530556068466	1.79162175187086e-06	0.00248123875205131	0.0102770102178433
Brain_Amygdala	ENSG00000133059.17	ADHD	217	0.000744750003470744	0.880115555614011	2.36179661063254e-05	0.0278194644021117	0.0912966120143008
Brain_Amygdala	ENSG00000133059.17	F3	142	0.00102614297888548	0.99186459592495	9.95232085558476e-07	0.000955833851288736	0.00615243201279059
Brain_Amygdala	ENSG00000286619.1	ASD	53	1.19638400532133e-16	0.977272049008783	1.75152890456598e-19	0.00140942631464746	0.0213185246765686
Brain_Amygdala	ENSG00000286619.1	ADHD	45	1.48901796415451e-16	0.976882373725469	1.02513691268932e-19	0.000650081884004167	0.0224675443905248
Brain_Amygdala	ENSG00000162877.13	ASD	32	0.339252169027162	0.645905447236235	0.000176124532189637	0.000320979900958287	0.0143452793034561
Brain_Amygdala	ENSG00000287780.1	ASD	227	9.71755405624585e-05	0.989372433186675	2.06941593770807e-07	0.00209850085295522	0.00843168347821306
Brain_Amygdala	ENSG00000287780.1	ADHD	196	0.000117327681882212	0.990681486217204	1.85955133368065e-07	0.00156251362881878	0.00763848651696064
Brain_Amygdala	ENSG00000287780.1	F3	138	0.000163727840643233	0.988306895348442	1.95605648513505e-07	0.00117037142177344	0.0103588097834928
Brain_Amygdala	ENSG00000286996.1	ASD	180	0.0042284419915901	0.985687995225688	6.58032000956931e-06	0.00152538038778708	0.00855160207492525
Brain_Amygdala	ENSG00000286996.1	ADHD	147	0.00509368194193625	0.986356061948066	5.58994057631426e-06	0.00107498341035281	0.00746968275906866
Brain_Amygdala	ENSG00000286996.1	F3	101	0.00712667865597022	0.98112486730302	7.69430941023241e-06	0.00104857801461473	0.010692181716985
