tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4	gene_name	is_mito
Brain_Substantia_nigra	ENSG00000271904.1	F3	62	1.62545943170667e-10	0.00022021577240592	2.15017677402495e-09	0.0019151754230832	0.997864606491787	ENSG00000271904	FALSE
Brain_Cerebellum	ENSG00000271904.1	F3	167	2.36995383317293e-06	0.000318220811509753	3.22636322514023e-05	0.00333582337744045	0.996311322224965	ENSG00000271904	FALSE
Brain_Substantia_nigra	ENSG00000186792.17	ADHD	53	6.5311830921451e-08	0.00365986065877892	3.66054489793879e-08	0.0010559651535816	0.995284072270358	HYAL3	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000255182.2	ADHD	36	3.57076408274292e-09	2.38946010696682e-05	9.5086592277179e-07	0.0053683343828069	0.994606816579438	ENSG00000255182	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000162873.15	ADHD	69	2.26493457703894e-11	0.0216405480884004	4.88974245149081e-12	0.00369729206500092	0.97466215981906	KLHDC8A	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000160957.15	ADHD	69	8.18804922851522e-09	0.000104568971127278	2.20192784036338e-06	0.0271479122909248	0.972745308622058	RECQL4	TRUE
Brain_Hippocampus	ENSG00000196072.12	ADHD	150	4.02891724918914e-24	0.00259501586731749	4.25249033733525e-23	0.0264192017505593	0.970985782382122	BLOC1S2	FALSE
Brain_Caudate_basal_ganglia	ENSG00000160957.15	ADHD	38	5.93943586505737e-05	6.69773345477875e-05	0.0140822562645201	0.0149092790948413	0.970882092947441	RECQL4	TRUE
Brain_Cortex	ENSG00000160957.15	ADHD	32	0.000242071497802365	2.33425236556002e-05	0.0332308740320633	0.00224013045180456	0.964263581494675	RECQL4	TRUE
Brain_Cerebellar_Hemisphere	ENSG00000160957.15	F3	31	8.31997933320919e-05	0.0366322048712846	6.14251444209365e-06	0.00174296458870252	0.961535488232239	RECQL4	TRUE
Brain_Amygdala	ENSG00000154319.16	ASD	304	2.1671015354934e-05	0.00194765722663444	0.000421241083190112	0.0368978393992179	0.960711591275603	FAM167A	FALSE
Brain_Cortex	ENSG00000164076.17	ADHD	172	0.000625457633214115	0.00150299222147644	0.0130817928585308	0.0304816067143549	0.954308150572423	CAMKV	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000253981.6	ASD	39	0.00309744779071052	0.00440367455647511	0.0165665363267075	0.0225994885150376	0.95333285281107	ALG1L13P	FALSE
