pair	exposure	outcome	status	n_ivs	beta	se	p	q_p	egger_p	presso_p	q_BH
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	84	0.0141963162820445	0.0676647612995146	0.833820896667575	2.64068350956714e-06	0.0317397785272737		0.9524933476636
Longchamps_2022__BD	Longchamps_2022	BD	OK	85	0.036891343940491	0.0611557435621292	0.546351725672995	3.85945636423672e-05	0.0767096264340848		0.9524933476636
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	79	-0.0296412723177069	0.0251350096529366	0.238285778786631	2.61575405521911e-07	0.328576206437457		0.9524933476636
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	76	-0.0315239368205777	0.0789933463014858	0.689841047211282	0.000346445711413267	0.331125981518024	0.0018421052631579	0.9524933476636
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	82	-0.200101788345311	0.0823857925333365	0.0151472761102933	0.620182808739783	0.78129965159129	0.757439024390244	0.337637074077959
Longchamps_2022__ANX	Longchamps_2022	ANX	OK	85	0.00917215933020836	0.0431521513272267	0.83167490916167	2.97405468626113e-09	0.126520395901951		0.9524933476636
Longchamps_2022__OCD	Longchamps_2022	OCD	OK	70	0.00119057035331666	0.0652786957868497	0.985448774198447	0.820486091409924	0.298996370377005	0.819571428571429	0.991551472186035
Longchamps_2022__PTSD	Longchamps_2022	PTSD	OK	84	0.0171670755907317	0.0118425442402653	0.147167187196101	0.00605088244009765	0.853543471616965	0.00297619047619048	0.865689336447653
Longchamps_2022__AN	Longchamps_2022	AN	OK	74	0.0150642751547308	0.0851038852552379	0.859500198552593	0.916216803709305	0.541901272772265	0.981486486486487	0.9524933476636
Longchamps_2022__BPD	Longchamps_2022	BPD	OK	58	-0.0231120010150347	0.0975812069987246	0.812774018099565	0.90473674340551	0.831292684523504	0.910172413793103	0.9524933476636
Longchamps_2022__TS	Longchamps_2022	TS	OK	76	0.0918669794806837	0.162221399974372	0.571185667799633	0.992804603878592	0.469655734822224	1	0.9524933476636
Longchamps_2022__PPD	Longchamps_2022	PPD	OK	84	0.0166369708177866	0.0781918823025567	0.831505526305575	0.676715917020113	0.48136740444529	0.714285714285714	0.9524933476636
Longchamps_2022__ADR_PercImp	Longchamps_2022	ADR_PercImp	OK	52	-0.134456430810561	0.13163584997245	0.307052108597188	0.999999999930417	0.428298587575537	1	0.9524933476636
Longchamps_2022__ADR_NonRem	Longchamps_2022	ADR_NonRem	OK	44	0.137993086421225	0.326021616880305	0.672102941526114	0.999999999996444	0.907242692789925	1	0.9524933476636
Longchamps_2022__BD_noUKBB	Longchamps_2022	BD_noUKBB	OK	78	0.126810181633996	0.0558652276841669	0.0232118030116802	0.279585631476862	0.652794846115478	0.318205128205128	0.337637074077959
Longchamps_2022__MDD_noUKBB	Longchamps_2022	MDD_noUKBB	OK	85	0.0440393832045145	0.0537309369593413	0.412428176780837	0.283440630854406	0.864236787736264	0.338352941176471	0.9524933476636
Longchamps_2022__BPD_noUKBB	Longchamps_2022	BPD_noUKBB	OK	59	-0.0324996140441695	0.0978692243796089	0.739835008353066	0.874858024287062	0.747430619382352	0.882372881355932	0.9524933476636
Longchamps_2022__PFactor	Longchamps_2022	PFactor	OK	33	0.0125119881630897	0.0164017483883518	0.445555970767086	3.02608502178901e-08	0.6897872912521		0.9524933476636
Longchamps_2022__F1	Longchamps_2022	F1	OK	33	0.0123282076527551	0.0522023439863867	0.813306999481073	0.947654644979408	0.142775646141705	0.952121212121212	0.9524933476636
Longchamps_2022__F2	Longchamps_2022	F2	OK	33	0.0480892038175737	0.0476680925041148	0.313054137589075	0.000661557532080104	0.124311888750605	0.00121212121212121	0.9524933476636
Longchamps_2022__F3	Longchamps_2022	F3	OK	33	-0.0821944727609938	0.0416406753567433	0.0483932686157263	0.526519590096633	0.654279565609956	0.559090909090909	0.388887732489629
Longchamps_2022__F4	Longchamps_2022	F4	OK	33	0.00851837573366204	0.0175911526810986	0.628214101537206	7.66515764146439e-06	0.914709638289851		0.9524933476636
Longchamps_2022__F5	Longchamps_2022	F5	OK	33	0.0555050180685874	0.0257258707694015	0.0309623347799229	0.0223599562390814	0.746914718191998	0.0266666666666667	0.337637074077959
Longchamps_2022__BMI	Longchamps_2022	BMI	OK	31	-0.0678143089556748	0.0297426337770411	0.0226054872183524	5.51239226385638e-11	0.488455398474641		0.337637074077959
Longchamps_2022__Height	Longchamps_2022	Height	OK	29	-0.0328282010261705	0.0338788670981029	0.332551392166873	6.73019110443537e-24	0.955505496613812		0.9524933476636
Chong_2022__SCZ	Chong_2022	SCZ	OK	58	-0.0308239795946209	0.0788714672655429	0.695935606993817	0.000116182706996068	0.112267562556129		0.9524933476636
Chong_2022__BD	Chong_2022	BD	OK	57	0.0351130306762398	0.0710181129843455	0.621007054363474	0.00157780198937736	0.314614495920616	0.000350877192982456	0.9524933476636
Chong_2022__MDD	Chong_2022	MDD	OK	53	0.00185726483038945	0.0271249123191979	0.945410852465545	0.00109918223993585	0.957865677235389		0.984802971318276
Chong_2022__ADHD	Chong_2022	ADHD	OK	50	-0.0189647915687292	0.0906100825908135	0.834213179237002	0.0107547570647446	0.765634536796898	0.0072	0.9524933476636
Chong_2022__ASD	Chong_2022	ASD	OK	59	-0.243416972461872	0.0964645155697212	0.0116231547286401	0.633109571238181	0.663691804514111	0.751016949152542	0.337637074077959
Chong_2022__ANX	Chong_2022	ANX	OK	55	-0.0358453431585368	0.0511042371433156	0.483043274194702	2.1388070066217e-06	0.00790431179397515		0.9524933476636
Chong_2022__OCD	Chong_2022	OCD	OK	48	-0.0174977660175593	0.0819533580882319	0.830930098584422	0.923174951559335	0.455192151586675	0.94125	0.9524933476636
Chong_2022__PTSD	Chong_2022	PTSD	OK	56	0.00701900740258059	0.0161788329722693	0.664405417753847	0.00228422354211565	0.580955392018465	0.00232142857142857	0.9524933476636
