pair	exposure	outcome	status	n_ivs	method	beta	se	p
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	84	Inverse variance weighted	0.0141963162820445	0.0676647612995146	0.833820896667575
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	84	MR Egger	-0.257176443456471	0.14014372631825	0.0709314412054513
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	84	Weighted median	-0.11331995717684	0.0796783623508255	0.154963135052769
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	84	Robust adjusted profile score (RAPS)	-0.0158612417172627	0.069435334104765	0.819310532398763
Longchamps_2022__BD	Longchamps_2022	BD	OK	85	Inverse variance weighted	0.036891343940491	0.0611557435621292	0.546351725672995
Longchamps_2022__BD	Longchamps_2022	BD	OK	85	MR Egger	0.232957973350035	0.124557908683164	0.0658142203164122
Longchamps_2022__BD	Longchamps_2022	BD	OK	85	Weighted median	0.0854769593631574	0.0743161385746411	0.250069613907592
Longchamps_2022__BD	Longchamps_2022	BD	OK	85	Robust adjusted profile score (RAPS)	0.0483410199602972	0.0609938351142433	0.428036648468902
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	79	Inverse variance weighted	-0.0296412723177069	0.0251350096529366	0.238285778786631
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	79	MR Egger	0.0142914177075921	0.0512236661997778	0.78113037293812
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	79	Weighted median	-0.0150924538310845	0.0275045312134398	0.583193439696318
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	79	Robust adjusted profile score (RAPS)	-0.0311737699841632	0.0254297842345687	0.220245226079026
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	76	Inverse variance weighted	-0.0315239368205777	0.0789933463014858	0.689841047211282
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	76	MR Egger	0.117020241254032	0.170965699855566	0.496316296711615
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	76	Weighted median	0.07554918519471	0.10340242784557	0.465003591193999
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	76	Robust adjusted profile score (RAPS)	-0.0403954254569575	0.0802238104526302	0.61458880075382
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	82	Inverse variance weighted	-0.200101788345311	0.0823857925333365	0.0151472761102933
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	82	MR Egger	-0.159171105957217	0.168356584977238	0.347935472633313
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	82	Weighted median	-0.232903510945473	0.130211042299626	0.0736693063844847
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	82	Robust adjusted profile score (RAPS)	-0.225360865234158	0.0854249574214659	0.0083368294166893
Longchamps_2022__ANX	Longchamps_2022	ANX	OK	85	Inverse variance weighted	0.00917215933020836	0.0431521513272267	0.83167490916167
Longchamps_2022__ANX	Longchamps_2022	ANX	OK	85	MR Egger	0.129031918012395	0.0885101507539505	0.149362041689828
Longchamps_2022__ANX	Longchamps_2022	ANX	OK	85	Weighted median	0.063719003267584	0.0477765484767907	0.182306171124284
Longchamps_2022__ANX	Longchamps_2022	ANX	OK	85	Robust adjusted profile score (RAPS)	0.0367848852693773	0.0438215853526188	0.401231487199147
Longchamps_2022__OCD	Longchamps_2022	OCD	OK	70	Inverse variance weighted	0.00119057035331666	0.0652786957868497	0.985448774198447
Longchamps_2022__OCD	Longchamps_2022	OCD	OK	70	MR Egger	-0.121629113970788	0.134286831987855	0.368271025300801
Longchamps_2022__OCD	Longchamps_2022	OCD	OK	70	Weighted median	0.0835603212771967	0.101171136057939	0.408843549864279
Longchamps_2022__OCD	Longchamps_2022	OCD	OK	70	Robust adjusted profile score (RAPS)	0.00474192525488405	0.0676364008114226	0.94410684652451
Longchamps_2022__PTSD	Longchamps_2022	PTSD	OK	84	Inverse variance weighted	0.0171670755907317	0.0118425442402653	0.147167187196101
Longchamps_2022__PTSD	Longchamps_2022	PTSD	OK	84	MR Egger	0.0209915361072706	0.0238410084646715	0.381236679787058
Longchamps_2022__PTSD	Longchamps_2022	PTSD	OK	84	Weighted median	0.0141290628023326	0.0166354349092143	0.395694720232343
Longchamps_2022__PTSD	Longchamps_2022	PTSD	OK	84	Robust adjusted profile score (RAPS)	0.0110399804059865	0.0120572770410259	0.359862042753778
Longchamps_2022__AN	Longchamps_2022	AN	OK	74	Inverse variance weighted	0.0150642751547308	0.0851038852552379	0.859500198552593
Longchamps_2022__AN	Longchamps_2022	AN	OK	74	MR Egger	0.112177399759201	0.179746495301553	0.534897730760136
Longchamps_2022__AN	Longchamps_2022	AN	OK	74	Weighted median	-0.023832789000374	0.140573953239488	0.8653725782491
Longchamps_2022__AN	Longchamps_2022	AN	OK	74	Robust adjusted profile score (RAPS)	0.0265268080991217	0.0880833463514141	0.763295714543054
Longchamps_2022__BPD	Longchamps_2022	BPD	OK	58	Inverse variance weighted	-0.0231120010150347	0.0975812069987246	0.812774018099565
Longchamps_2022__BPD	Longchamps_2022	BPD	OK	58	MR Egger	0.0144429664695903	0.200740184752631	0.94290867149037
Longchamps_2022__BPD	Longchamps_2022	BPD	OK	58	Weighted median	-0.0884973557436942	0.156762980293417	0.572393704210351
Longchamps_2022__BPD	Longchamps_2022	BPD	OK	58	Robust adjusted profile score (RAPS)	-0.0704449768893598	0.101017516164533	0.485581232542267
Longchamps_2022__TS	Longchamps_2022	TS	OK	76	Inverse variance weighted	0.0918669794806837	0.162221399974372	0.571185667799633
