outcome	n_studies	pooled_beta	pooled_se	pooled_p	pooled_lo	pooled_hi	Q	Q_p	I2	tau2
SCZ	4	-0.0473683762671981	0.0318719759195819	0.137224189468581	-0.109836301185706	0.0150995486513102	1.30044997082337	0.729026229007509	0	0
BD	4	0.0160759722569646	0.0249329450384297	0.519077356211192	-0.0327917020468741	0.0649436465608034	1.15712466472398	0.763304864390711	0	0
MDD	4	-0.00481354498836775	0.0108186749173119	0.656370878997563	-0.0260177581867458	0.0163906682100103	2.27243822695682	0.517821564481001	0	0
ADHD	4	-0.0792553452025698	0.0336818342979705	0.0186196766818519	-0.145270527359838	-0.0132401630453017	1.18460526004732	0.756698924766788	0	0
ASD	4	-0.181802469126057	0.0380176158674731	1.73509028096241e-06	-0.256315627004383	-0.107289311247731	0.91268922746707	0.822364576764131	0	0
ANX	4	-0.00513718724399564	0.0183519837218254	0.779534703596904	-0.0411064143836387	0.0308320398956474	0.58524956917543	0.899800688339966	0	0
OCD	4	-0.0126668999733504	0.0298208372280524	0.671006722005049	-0.0711146669291643	0.0457808669824635	0.866412611740789	0.833524705239414	0	0
PTSD	4	0.00363424872610966	0.00545868866881409	0.505556065253424	-0.00706458446758286	0.0143330819198022	1.99215399420947	0.574036768455268	0	0
AN	4	0.0248956395824648	0.0384651609820537	0.517485900019594	-0.0504946906018957	0.100285969766825	0.663007038533613	0.88186860450959	0	0
BPD	4	-0.046666828887645	0.0492194985735269	0.343059702212964	-0.143135273428878	0.0498016156535882	0.201770419610816	0.977302986710469	0	0
TS	4	0.142932500751085	0.0719241272423846	0.0468927300662669	0.00196380173653535	0.283901199765635	1.66978774150399	0.643671427092748	0	0
PPD	4	0.0256088121266706	0.035579698972729	0.471673330884985	-0.0441261164406549	0.0953437406939962	0.296311138043423	0.960720756232639	0	0
ADR_PercImp	4	-0.0983375586939319	0.0568486156717952	0.0836634260928729	-0.20975879798161	0.0130836805937459	0.911591662825302	0.822629611157682	0	0
ADR_NonRem	4	0.0596144034765553	0.137726971946321	0.665127525057068	-0.210325501237992	0.329554308191102	0.177734184888559	0.981101102862475	0	0
BD_noUKBB	4	0.0590765294742674	0.0321780737863253	0.066368752640159	-0.00399133623880253	0.122144395187337	3.85647199287999	0.277385469259606	23.6337035429786	0.000986073246089825
MDD_noUKBB	4	0.0163352334558414	0.0263398868894678	0.535145225394751	-0.0352899962043743	0.067960463116057	1.03339187921036	0.793172838111283	0	0
BPD_noUKBB	4	-0.0704067466782188	0.0481401431112139	0.143594077657421	-0.164759693386802	0.0239462000303644	0.325820638358277	0.955101369944244	0	0
PFactor	4	0.00239470706259063	0.00726041339883649	0.741527906801747	-0.0118354417120009	0.0166248558371822	1.03652210190742	0.792415642103713	0	0
F1	4	-0.00244603833200696	0.0225637048838089	0.913673735371992	-0.046670087262063	0.041778010598049	2.30185419930754	0.512165784682942	0	0
F2	4	0.0050876218723786	0.0206789055133142	0.805659355780446	-0.035442288173424	0.0456175319181812	1.81045456668533	0.612662551805503	0	0
F3	4	-0.0866486979227542	0.019331741375867	7.38780527609324e-06	-0.124538214777896	-0.048759181067612	0.992914342897226	0.802966471285209	0	0
F4	4	0.00545748433046605	0.00777451318109344	0.482697125595455	-0.00978028150180902	0.0206952501627411	0.985436307785557	0.80477588131464	0	0
F5	4	0.0251886686189016	0.013245992346231	0.0572225832197671	-0.000772999319204368	0.0511503365570075	3.7311358060493	0.291998442677944	21.7436887457249	0.000154637306935761
BMI	4	-0.0116752674490124	0.0267621846805998	0.66264818773873	-0.0641281855705976	0.0407776506725727	10.882504178645	0.0123784857076079	73.2546080078021	0.00201973068087247
Height	4	-0.0113444957342317	0.017315474745419	0.512361424849692	-0.0452822026104658	0.0225932111420024	1.08993657751862	0.779503972634795	0	0
