pair	exposure	outcome	status	n_iv	ivw_obs_b	ivw_obs_se	ivw_obs_p	ivw_corrected_b	ivw_corrected_se	ivw_corrected_p	test_difference	p_difference	h2_exp	h2_exp_se	h2_int_exp	h2_out	h2_out_se	h2_int_out	rg	rg_se	gencov_int	error	runtime_sec
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	97	0.0839643399804064	0.0462030059900492	0.0691724579374709	0.112719350371323	0.0607124848941353	0.06336679199847	-2.1167615724198	0.0342800882244195	0.181509651288546	0.0201894421193578		4.28996173817985	0.157873794853425		0.0235113073732591				420.847999095917
Longchamps_2022__BD	Longchamps_2022	BD	OK	97	0.0739728985712135	0.035773345208408	0.0386567948277059	0.0984286595708656	0.0470401227084411	0.0363991258593477	-2.31155094226292	0.0208024427632306	0.181509651288546	0.0201894421193578		2.09339852401429	0.0897553832611208		-0.00765923807689731				326.162086248398
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	94	0.00505394300472095	0.0138498396837927	0.71517869687076	0.00814820150718406	0.0179185886435309	0.649300214995105	-0.657794974823166	0.510669883880804	0.181509651288546	0.0201894421193578		0.591047359636796	0.0194051171662769		-0.00651013948358509				355.986264228821
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	90	-0.0185342413592999	0.0215846234340752	0.390518189351442	-0.0225507682534681	0.0283576155121036	0.426480920148418	0.559920200911704	0.575533869200191	0.181509651288546	0.0201894421193578		0.544455494319827	0.0252381348819666		0.0204702493118932				365.721681118011
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	96	-0.0852474169958562	0.040449492305384	0.0350740220144723	-0.115680354825493	0.0523326424250042	0.0270717406764368	2.06752472908147	0.0386847364908808	0.181509651288546	0.0201894421193578		1.14561681698984	0.0883005125444965		-0.0854022580034717				363.348719835281
Longchamps_2022__F3_NDev	Longchamps_2022	F3_NDev	OK	78	-0.0742535694350156	0.0275939130738643	0.00712509694814988	-0.0965157623553914	0.0371937723542953	0.00946062878956813	2.28305511307414	0.0224271221504529	0.181509651288546	0.0201894421193578		0.866418040321292	0.0506720252587304		-0.0159955103498225				321.469385147095
Chong_2022__SCZ	Chong_2022	SCZ	OK	68	0.0367618676738896	0.0471243763540308	0.435330246936693	0.0526466391853739	0.0610868237584511	0.38877943512353	-0.942668542165818	0.34585046871764	0.16976627183057	0.0201899461361525		4.28996173817985	0.157873794853425		0.0379377326400721				263.468847036362
Chong_2022__BD	Chong_2022	BD	OK	67	0.0379708153214318	0.03738879641659	0.309835785225576	0.0531581310864454	0.049302620816638	0.280944101805034	-1.27208476542545	0.203343003453507	0.16976627183057	0.0201899461361525		2.09339852401429	0.0897553832611208		-0.000285594071652986				277.369251251221
Chong_2022__MDD	Chong_2022	MDD	OK	67	0.00980189030133548	0.0159333413874356	0.53843513542535	0.0149751388358732	0.0209715047875995	0.475183411649123	-1.01645896754452	0.309410877601639	0.16976627183057	0.0201899461361525		0.591047359636796	0.0194051171662769		0.00685063488097139				256.329100847244
Chong_2022__ADHD	Chong_2022	ADHD	OK	63	-0.0148879650248706	0.0248572057786781	0.549213159249117	-0.0183011388284132	0.0334612134250385	0.58442277175485	0.465865243825207	0.641311960617795	0.16976627183057	0.0201899461361525		0.544455494319827	0.0252381348819666		0.0154055495607178				234.695701599121
Chong_2022__ASD	Chong_2022	ASD	OK	69	-0.097305380718512	0.040732286732648	0.0168988777082677	-0.135006147844855	0.0538250998633385	0.012133499443013	2.72802136207196	0.00637154816901608	0.16976627183057	0.0201899461361525		1.14561681698984	0.0883005125444965		-0.127129528197721				284.089729070664
Chong_2022__F3_NDev	Chong_2022	F3_NDev	OK	57	-0.105619740929597	0.0325557345993708	0.00117750193582298	-0.142194065735745	0.0425557907702657	0.000833701168175598	2.56695846928707	0.0102594899345047	0.16976627183057	0.0201899461361525		0.866418040321292	0.0506720252587304		-0.0422972734354846				196.860940694809
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	OK	71	-0.0554454910136524	0.0346349398567087	0.109409202416796	-0.0693384055599975	0.0473915859173053	0.14344130985129	1.21055103413684	0.226067520383436	0.451074302034841	0.0354560309335434		4.28996173817985	0.157873794853425		0.0180563439170122				234.131845474243
Gupta_2023_raw__BD	Gupta_2023_raw	BD	OK	70	0.0115434950615438	0.0224113694216937	0.606501891396013	0.0141445940808595	0.0304889164671495	0.642700928267017	-0.323661831583857	0.74619407058845	0.451074302034841	0.0354560309335434		2.09339852401429	0.0897553832611208		-0.015462478781524				249.131849765778
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	OK	70	-0.00321355155956695	0.0111119069410547	0.772429153241149	-0.00490833819798924	0.0149786944448567	0.743147588958584	0.41479271760285	0.678293651124011	0.451074302034841	0.0354560309335434		0.591047359636796	0.0194051171662769		-0.0958582857451626				264.464555740356
Gupta_2023_raw__ADHD	Gupta_2023_raw	ADHD	OK	63	-0.0339111007124309	0.0150990270427435	0.0247095827746595	-0.044508816504756	0.0204628755899508	0.0296225655908109	1.78250788408704	0.074666446694409	0.451074302034841	0.0354560309335434		0.544455494319827	0.0252381348819666		-0.065555179327796				277.78124833107
Gupta_2023_raw__ASD	Gupta_2023_raw	ASD	OK	67	-0.0780608997879079	0.0265318849945111	0.00325937466786839	-0.111071750644547	0.0358848381323661	0.00196661753006536	3.16636448097312	0.00154357250975216	0.451074302034841	0.0354560309335434		1.14561681698984	0.0883005125444965		-0.10970387101744				247.843217372894
Gupta_2023_raw__F3_NDev	Gupta_2023_raw	F3_NDev	OK	57	-0.0850678600628999	0.0210124615786254	5.15583648121012e-05	-0.117181597269053	0.028955673944577	5.18936618267163e-05	3.50237763536046	0.000461125538612234	0.451074302034841	0.0354560309335434		0.866418040321292	0.0506720252587304		-0.0910820982227035				229.17253446579
Gupta_2023_adj__SCZ	Gupta_2023_adj	SCZ	OK	41	-0.0340213286813344	0.0367053639763044	0.353990809941002	-0.0437049572369639	0.0476995946348987	0.359533547358843	0.772138417768626	0.44003245042331	0.253652690633808	0.0333482606371926		4.28996173817985	0.157873794853425		0.00838697663701768				253.227274179459
Gupta_2023_adj__BD	Gupta_2023_adj	BD	OK	41	-0.0288049485682513	0.0316596158592286	0.362910833316962	-0.0377542591769506	0.0420227356295767	0.368959229835387	0.987502191550771	0.323396509076892	0.253652690633808	0.0333482606371926		2.09339852401429	0.0897553832611208		0.0252064132434943				255.435503005981
Gupta_2023_adj__MDD	Gupta_2023_adj	MDD	OK	41	0.00818521997205773	0.0112024717418587	0.464985655467656	0.00974319929215032	0.01492629617498	0.513914893805235	-0.533145913134804	0.59393257866887	0.253652690633808	0.0333482606371926		0.591047359636796	0.0194051171662769		-0.0211516995961067				228.317813158035
Gupta_2023_adj__ADHD	Gupta_2023_adj	ADHD	OK	37	-0.036317965757503	0.0186561832515141	0.0515708799530138	-0.0459940515796621	0.0248350475586322	0.064028462447142	1.65886119858077	0.097143764961149	0.253652690633808	0.0333482606371926		0.544455494319827	0.0252381348819666		0.0520865213813878				248.640934705734
