pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	b	se	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Inverse variance weighted	0.0036161683157002	0.00361110141789623	0.3166319443806	3.36080576843172e-07	0.000679409231229361	0.488380961381026		0.00558086408008531	0.0992048740010013	1	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	MR Egger	-0.00733371288541952	0.0161814062458169	0.65091405763875	3.05752078899164e-07	0.000679409231229361	0.488380961381026		0.00558086408008531	0.0992048740010013	1	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Weighted median	0.00459019931348239	0.00453073924089366	0.311001078200806		0.000679409231229361	0.488380961381026		0.00558086408008531	0.0992048740010013	1	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Robust adjusted profile score (RAPS)	0.00365515209787203	0.00362370477590801	0.313128978504883		0.000679409231229361	0.488380961381026		0.00558086408008531	0.0992048740010013	1	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Inverse variance weighted	-8.974438927843e-05	0.00335930587757649	0.97868692263969	0.0235496847922695	0.000469756227636223	0.606513102835813	0.027			1	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	MR Egger	-0.00770195814552852	0.0151309845560606	0.61140285794226	0.0215677199741607	0.000469756227636223	0.606513102835813	0.027			1	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Weighted median	0	0.00465621274959923	1		0.000469756227636223	0.606513102835813	0.027			1	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Robust adjusted profile score (RAPS)	-0.000214539007979745	0.0035990635664533	0.952466512874441		0.000469756227636223	0.606513102835813	0.027			1	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	Inverse variance weighted	-0.00689418019348223	0.00686882299870174	0.315527269763413	3.67394640067596e-14	0.00306577631590931	0.0988529301459944		-0.00567945324200446	0.384929864025551	1	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	MR Egger	-0.05650923656436	0.0306784028647891	0.0671131968179471	1.02822874681618e-13	0.00306577631590931	0.0988529301459944		-0.00567945324200446	0.384929864025551	1	FALSE
