### Supp Table 10A — Per-panel MR diagnostic metrics across 25 outcomes
panel	n_outcomes	mean_n_ivs	median_n_ivs	n_iv_range	mean_abs_SE	median_p	n_p_lt_05	n_egger_sig_pct	n_PRESSO_sig_pct	median_Cochran_Q_p
Longchamps_2022	25	60.5	70	29–85	0.0715	0.546	5	1 (4.0%)	4 (23.5%)	0.28
Chong_2022	25	43.0	48	24–59	0.0879	0.553	2	1 (4.0%)	4 (23.5%)	0.077
Gupta_2023_raw	25	48.0	57	19–67	0.0527	0.502	3	0 (0.0%)	6 (37.5%)	0.048
Gupta_2023_adj	25	32.8	35	21–43	0.0604	0.581	2	2 (8.0%)	11 (50.0%)	0.035

### Supp Table 10B — Pairwise panel concordance (Pearson r, Spearman rho, sign agreement)
panel_A	panel_B	n_outcomes	Pearson_r	Spearman_rho	sign_concord_pct
Longchamps_2022	Chong_2022	25	0.903	0.824	68
Longchamps_2022	Gupta_2023_raw	25	0.707	0.742	68
Longchamps_2022	Gupta_2023_adj	25	0.553	0.361	60
Chong_2022	Gupta_2023_raw	25	0.733	0.716	76
Chong_2022	Gupta_2023_adj	25	0.619	0.459	52
Gupta_2023_raw	Gupta_2023_adj	25	0.687	0.505	44

### Supp Table 10C — Directional concordance per outcome (4 panels)
outcome	max_concord	n_negative	n_positive
ADHD	4	4	0
ADR_PercImp	4	4	0
ASD	4	4	0
BPD	4	4	0
BPD_noUKBB	4	4	0
F3	4	4	0
PPD	4	0	4
TS	4	0	4
ADR_NonRem	3	1	3
AN	3	1	3
BD	3	1	3
BD_noUKBB	3	1	3
F2	3	1	3
F5	3	1	3
Height	3	3	1
MDD_noUKBB	3	1	3
PTSD	3	1	3
SCZ	3	3	1
ANX	2	2	2
BMI	2	2	2
F1	2	2	2
F4	2	2	2
MDD	2	2	2
OCD	2	2	2
PFactor	2	2	2
