### Supp Table 11A — Anchor-set (MitoCarta3_all_anchor) enrichment for 4 exposures + 3 outcomes
trait	role	NGENES	BETA	SE	P_one_sided	P_two_sided	N_FDR_sig_subpathways
Longchamps_2022	exposure	1075	0.0755	0.0321	9.350e-03	1.869e-02	0
Chong_2022	exposure	1076	0.0278	0.0311	1.857e-01	3.713e-01	0
Gupta_2023_raw	exposure	1076	0.0668	0.0306	1.444e-02	2.886e-02	3
Gupta_2023_adj	exposure	1076	0.0991	0.0287	2.707e-04	5.401e-04	8
ASD_Grove2019	outcome	1076	-0.0015	0.0286	5.212e-01	9.577e-01	0
ADHD_Demontis2023	outcome	1073	-0.0026	0.0316	5.330e-01	9.339e-01	0
CDG3_F3_Neurodev	outcome	1046	-0.0847	0.0316	9.963e-01	7.404e-03	0

### Supp Table 11B (top hits, p<0.05) — Sub-pathway results for Longchamps_2022 and Chong_2022
trait	pathway_name	NGENES	BETA	SE	P	FDR_q
Chong_2022	MITO_PW__TOM	9	0.8209	0.335	7.1387e-03	0.617
Chong_2022	MITO_PW__mtDNA_stability_and_decay	3	2.0484	0.8602	8.6361e-03	0.617
Chong_2022	MITO_PW__Fusion	9	0.6182	0.298	1.9039e-02	0.657
Chong_2022	MITO_PW__mtDNA_replication	14	0.5239	0.26	2.1947e-02	0.657
Chong_2022	MITO_PW__mtDNA_maintenance	31	0.3312	0.1768	3.0516e-02	0.657
Chong_2022	MITO_PW__Mitochondrial_dynamics_and_surveillance	96	0.184	0.099	3.1575e-02	0.657
Chong_2022	MITO_PW__ABC_transporters	6	0.6745	0.3686	3.3627e-02	0.657
Chong_2022	MITO_PW__Selenoproteins	5	0.8898	0.4971	3.6729e-02	0.657
Longchamps_2022	MITO_PW__Fusion	9	0.851	0.3242	4.3406e-03	0.506
Longchamps_2022	MITO_PW__Cardiolipin_synthesis	15	0.6554	0.2677	7.1733e-03	0.506
Longchamps_2022	MITO_PW__mtDNA_replication	14	0.5691	0.2626	1.5107e-02	0.506
Longchamps_2022	MITO_PW__mtDNA_maintenance	31	0.3492	0.1765	2.3967e-02	0.506
Longchamps_2022	MITO_PW__Selenoproteins	5	0.8778	0.4506	2.5721e-02	0.506
Longchamps_2022	MITO_PW__Malate_aspartate_shuttle	6	0.8576	0.4464	2.7363e-02	0.506
Longchamps_2022	MITO_PW__TOM	9	0.5047	0.2688	3.0229e-02	0.506
Longchamps_2022	MITO_PW__Branched_chain_amino_acid_dehydrogenase_complex	6	0.9586	0.5108	3.0277e-02	0.506
Longchamps_2022	MITO_PW__EF_hand_proteins	11	0.5583	0.301	3.1826e-02	0.506
Longchamps_2022	MITO_PW__Protein_import_and_sorting	45	0.2468	0.1375	3.6356e-02	0.520

### Supp Table 11B (all 143 sub-pathways) — Sub-pathway results for Longchamps_2022 and Chong_2022 (full)
trait	pathway_name	NGENES	BETA	SE	P	FDR_q
Longchamps_2022	MITO_PW__Mitochondrial_central_dogma	228	0.0707	0.0696	1.5512e-01	0.676
Longchamps_2022	MITO_PW__mtDNA_maintenance	31	0.3492	0.1765	2.3967e-02	0.506
Longchamps_2022	MITO_PW__mtDNA_replication	14	0.5691	0.2626	1.5107e-02	0.506
Longchamps_2022	MITO_PW__mtDNA_nucleoid	11	0.3073	0.2634	1.2168e-01	0.676
Longchamps_2022	MITO_PW__mtDNA_repair	9	0.5317	0.3253	5.1050e-02	0.625
Longchamps_2022	MITO_PW__mtDNA_stability_and_decay	3	1.3275	1.2231	1.3890e-01	0.676
Longchamps_2022	MITO_PW__mtRNA_metabolism	74	0.1267	0.1235	1.5261e-01	0.676
Longchamps_2022	MITO_PW__Transcription	8	0.3585	0.3544	1.5592e-01	0.676
Longchamps_2022	MITO_PW__mtRNA_granules	27	-0.0985	0.2267	6.6805e-01	0.845
Longchamps_2022	MITO_PW__Polycistronic_mtRNA_processing	12	0.0924	0.2677	3.6495e-01	0.767
Longchamps_2022	MITO_PW__mt_tRNA_modifications	20	0.2509	0.2024	1.0760e-01	0.676
Longchamps_2022	MITO_PW__mt_rRNA_modifications	17	0.084	0.3038	3.9112e-01	0.769
Longchamps_2022	MITO_PW__mt_mRNA_modifications	4	-0.3774	0.6202	7.2861e-01	0.854
Longchamps_2022	MITO_PW__mtRNA_stability_and_decay	17	0.1656	0.2561	2.5894e-01	0.765
Longchamps_2022	MITO_PW__Translation	154	-0.0185	0.086	5.8530e-01	0.825
Longchamps_2022	MITO_PW__Mitochondrial_ribosome	82	-0.0316	0.1209	6.0303e-01	0.825
Longchamps_2022	MITO_PW__Mitochondrial_ribosome_assembly	24	-0.0909	0.1985	6.7639e-01	0.848
Longchamps_2022	MITO_PW__Translation_factors	16	-0.2363	0.2447	8.3284e-01	0.906
Longchamps_2022	MITO_PW__mt_tRNA_synthetases	22	-0.0011	0.2153	5.0202e-01	0.807
Longchamps_2022	MITO_PW__fMet_processing	3	0.0487	0.7204	4.7303e-01	0.796
Longchamps_2022	MITO_PW__Protein_import_sorting_and_homeostasis	82	0.12	0.104	1.2420e-01	0.676
