pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Longchamps_2022__SCZ	Longchamps_2022	SCZ	69	Inverse variance weighted	0.0141963162820445	0.0676647612995146	0.833820896667575	0.00774590918811763	0.0317397785272737	2.64068350956714e-06		0.465388448036961		
Longchamps_2022__SCZ	Longchamps_2022	SCZ	69	MR Egger	-0.257176443456471	0.14014372631825	0.0709314412054513	0.00774590918811763	0.0317397785272737	2.64068350956714e-06		0.465388448036961		
Longchamps_2022__SCZ	Longchamps_2022	SCZ	69	Weighted median	-0.11331995717684	0.0796783623508255	0.154963135052769	0.00774590918811763	0.0317397785272737	2.64068350956714e-06		0.465388448036961		
Longchamps_2022__SCZ	Longchamps_2022	SCZ	69	Robust adjusted profile score (RAPS)	-0.0158612417172627	0.069435334104765	0.819310532398763	0.00774590918811763	0.0317397785272737	2.64068350956714e-06		0.465388448036961		
Longchamps_2022__BD	Longchamps_2022	BD	69	Inverse variance weighted	0.036891343940491	0.0611557435621292	0.546351725672995	-0.00564159948499593	0.0767096264340848	3.85945636423672e-05		0.478749292473041	0.0414744449880929	0.432680677069329
Longchamps_2022__BD	Longchamps_2022	BD	69	MR Egger	0.232957973350035	0.124557908683164	0.0658142203164122	-0.00564159948499593	0.0767096264340848	3.85945636423672e-05		0.478749292473041	0.0414744449880929	0.432680677069329
Longchamps_2022__BD	Longchamps_2022	BD	69	Weighted median	0.0854769593631574	0.0743161385746411	0.250069613907592	-0.00564159948499593	0.0767096264340848	3.85945636423672e-05		0.478749292473041	0.0414744449880929	0.432680677069329
Longchamps_2022__BD	Longchamps_2022	BD	69	Robust adjusted profile score (RAPS)	0.0483410199602972	0.0609938351142433	0.428036648468902	-0.00564159948499593	0.0767096264340848	3.85945636423672e-05		0.478749292473041	0.0414744449880929	0.432680677069329
Longchamps_2022__MDD	Longchamps_2022	MDD	67	Inverse variance weighted	-0.0296412723177069	0.0251350096529366	0.238285778786631	-0.00131350183109201	0.328576206437457	2.61575405521911e-07		0.510895800471979	-0.0179635491170197	0.392604891992514
Longchamps_2022__MDD	Longchamps_2022	MDD	67	MR Egger	0.0142914177075921	0.0512236661997778	0.78113037293812	-0.00131350183109201	0.328576206437457	2.61575405521911e-07		0.510895800471979	-0.0179635491170197	0.392604891992514
Longchamps_2022__MDD	Longchamps_2022	MDD	67	Weighted median	-0.0150924538310845	0.0275045312134398	0.583193439696318	-0.00131350183109201	0.328576206437457	2.61575405521911e-07		0.510895800471979	-0.0179635491170197	0.392604891992514
Longchamps_2022__MDD	Longchamps_2022	MDD	67	Robust adjusted profile score (RAPS)	-0.0311737699841632	0.0254297842345687	0.220245226079026	-0.00131350183109201	0.328576206437457	2.61575405521911e-07		0.510895800471979	-0.0179635491170197	0.392604891992514
Longchamps_2022__ADHD	Longchamps_2022	ADHD	62	Inverse variance weighted	-0.0315239368205777	0.0789933463014858	0.689841047211282	-0.0040949421824753	0.331125981518024	0.000346445711413267	0.0018421052631579	0.694688654570973		
Longchamps_2022__ADHD	Longchamps_2022	ADHD	62	MR Egger	0.117020241254032	0.170965699855566	0.496316296711615	-0.0040949421824753	0.331125981518024	0.000346445711413267	0.0018421052631579	0.694688654570973		
Longchamps_2022__ADHD	Longchamps_2022	ADHD	62	Weighted median	0.07554918519471	0.10340242784557	0.465003591193999	-0.0040949421824753	0.331125981518024	0.000346445711413267	0.0018421052631579	0.694688654570973		
Longchamps_2022__ADHD	Longchamps_2022	ADHD	62	Robust adjusted profile score (RAPS)	-0.0403954254569575	0.0802238104526302	0.61458880075382	-0.0040949421824753	0.331125981518024	0.000346445711413267	0.0018421052631579	0.694688654570973		
Longchamps_2022__ASD	Longchamps_2022	ASD	67	Inverse variance weighted	-0.200101788345311	0.0823857925333365	0.0151472761102933	-0.00119591915944463	0.78129965159129	0.620182808739783	0.757439024390244	0.0129109480778868		
Longchamps_2022__ASD	Longchamps_2022	ASD	67	MR Egger	-0.159171105957217	0.168356584977238	0.347935472633313	-0.00119591915944463	0.78129965159129	0.620182808739783	0.757439024390244	0.0129109480778868		
Longchamps_2022__ASD	Longchamps_2022	ASD	67	Weighted median	-0.232903510945473	0.130211042299626	0.0736693063844847	-0.00119591915944463	0.78129965159129	0.620182808739783	0.757439024390244	0.0129109480778868		
Longchamps_2022__ASD	Longchamps_2022	ASD	67	Robust adjusted profile score (RAPS)	-0.225360865234158	0.0854249574214659	0.0083368294166893	-0.00119591915944463	0.78129965159129	0.620182808739783	0.757439024390244	0.0129109480778868		
Longchamps_2022__ANX	Longchamps_2022	ANX	72	Inverse variance weighted	0.00917215933020836	0.0431521513272267	0.83167490916167	-0.0034666749672494	0.126520395901951	2.97405468626113e-09		0.848719725876759	0.00228454097776248	0.953145985696634
Longchamps_2022__ANX	Longchamps_2022	ANX	72	MR Egger	0.129031918012395	0.0885101507539505	0.149362041689828	-0.0034666749672494	0.126520395901951	2.97405468626113e-09		0.848719725876759	0.00228454097776248	0.953145985696634
Longchamps_2022__ANX	Longchamps_2022	ANX	72	Weighted median	0.063719003267584	0.0477765484767907	0.182306171124284	-0.0034666749672494	0.126520395901951	2.97405468626113e-09		0.848719725876759	0.00228454097776248	0.953145985696634
Longchamps_2022__ANX	Longchamps_2022	ANX	72	Robust adjusted profile score (RAPS)	0.0367848852693773	0.0438215853526188	0.401231487199147	-0.0034666749672494	0.126520395901951	2.97405468626113e-09		0.848719725876759	0.00228454097776248	0.953145985696634
Longchamps_2022__OCD	Longchamps_2022	OCD	70	Inverse variance weighted	0.00119057035331666	0.0652786957868497	0.985448774198447	0.00366274910454676	0.298996370377005	0.820486091409924	0.819571428571429	0.984209943939694		
Longchamps_2022__OCD	Longchamps_2022	OCD	70	MR Egger	-0.121629113970788	0.134286831987855	0.368271025300801	0.00366274910454676	0.298996370377005	0.820486091409924	0.819571428571429	0.984209943939694		
Longchamps_2022__OCD	Longchamps_2022	OCD	70	Weighted median	0.0835603212771967	0.101171136057939	0.408843549864279	0.00366274910454676	0.298996370377005	0.820486091409924	0.819571428571429	0.984209943939694		
