section	exposure	outcome	n_iv	mean_F	min_F	max_F
PAIR_MEAN_F	Chong_2022	ADHD	43	94.2775977035038	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	ADR_NonRem	29	118.630440232549	31.7685950413223	441
PAIR_MEAN_F	Chong_2022	ADR_PercImp	34	116.814056138552	31.36	441
PAIR_MEAN_F	Chong_2022	AN	43	100.488919914222	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	ANX	49	96.016652507657	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	ASD	50	96.2988855933137	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	BD	48	96.8525531008107	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	BD_noUKBB	48	97.7513334269844	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	BMI	23	93.2817259243832	33.0625	441
PAIR_MEAN_F	Chong_2022	BPD	32	95.1611578465615	31.36	441
PAIR_MEAN_F	Chong_2022	BPD_noUKBB	30	98.8472037729846	31.36	441
PAIR_MEAN_F	Chong_2022	F1	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	F2	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	F3	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	F4	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	F5	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	Height	22	95.9305796280168	33.0625	441
PAIR_MEAN_F	Chong_2022	MDD	47	97.011771638739	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	MDD_noUKBB	47	97.7566525423376	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	OCD	42	100.114684501564	30.7520661157025	441
PAIR_MEAN_F	Chong_2022	PFactor	29	89.9323981727634	31.36	429.619834710744
PAIR_MEAN_F	Chong_2022	PPD	50	96.1559155823402	30.7520661157025	441
