pair	exposure	outcome	status	n_iv	ivw_obs_beta	ivw_obs_SE	ivw_obs_p	ivw_corrected_beta	ivw_corrected_SE	ivw_corrected_p	test_difference_Z	p_difference	h2_exp	h2_exp_SE	h2_out	h2_out_SE	rg	rg_SE	runtime_sec	error_flag
Longchamps_2022__SCZ	Longchamps_2022	SCZ	OK	97	0.0840	0.0462	0.069	0.1127	0.0607	0.063	-2.117	0.034	0.1815	0.0202	4.2900	0.1579	0.0235	NA	420.8	
Longchamps_2022__BD	Longchamps_2022	BD	OK	97	0.0740	0.0358	0.039	0.0984	0.0470	0.036	-2.312	0.021	0.1815	0.0202	2.0934	0.0898	-0.0077	NA	326.2	
Longchamps_2022__MDD	Longchamps_2022	MDD	OK	94	0.0051	0.0138	0.715	0.0081	0.0179	0.649	-0.658	0.511	0.1815	0.0202	0.5910	0.0194	-0.0065	NA	356	
Longchamps_2022__ADHD	Longchamps_2022	ADHD	OK	90	-0.0185	0.0216	0.391	-0.0226	0.0284	0.426	0.560	0.576	0.1815	0.0202	0.5445	0.0252	0.0205	NA	365.7	
Longchamps_2022__ASD	Longchamps_2022	ASD	OK	96	-0.0852	0.0404	0.035	-0.1157	0.0523	0.027	2.068	0.039	0.1815	0.0202	1.1456	0.0883	-0.0854	NA	363.3	
Longchamps_2022__F3_NDev	Longchamps_2022	F3_NDev	OK	78	-0.0743	0.0276	0.007	-0.0965	0.0372	0.009	2.283	0.022	0.1815	0.0202	0.8664	0.0507	-0.0160	NA	321.5	
Chong_2022__SCZ	Chong_2022	SCZ	OK	68	0.0368	0.0471	0.435	0.0526	0.0611	0.389	-0.943	0.346	0.1698	0.0202	4.2900	0.1579	0.0379	NA	263.5	
Chong_2022__BD	Chong_2022	BD	OK	67	0.0380	0.0374	0.310	0.0532	0.0493	0.281	-1.272	0.203	0.1698	0.0202	2.0934	0.0898	-2.8559e-04	NA	277.4	
Chong_2022__MDD	Chong_2022	MDD	OK	67	0.0098	0.0159	0.538	0.0150	0.0210	0.475	-1.016	0.309	0.1698	0.0202	0.5910	0.0194	0.0069	NA	256.3	
Chong_2022__ADHD	Chong_2022	ADHD	OK	63	-0.0149	0.0249	0.549	-0.0183	0.0335	0.584	0.466	0.641	0.1698	0.0202	0.5445	0.0252	0.0154	NA	234.7	
Chong_2022__ASD	Chong_2022	ASD	OK	69	-0.0973	0.0407	0.017	-0.1350	0.0538	0.012	2.728	0.006	0.1698	0.0202	1.1456	0.0883	-0.1271	NA	284.1	
Chong_2022__F3_NDev	Chong_2022	F3_NDev	OK	57	-0.1056	0.0326	0.001	-0.1422	0.0426	8.34e-04	2.567	0.010	0.1698	0.0202	0.8664	0.0507	-0.0423	NA	196.9	
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	OK	71	-0.0554	0.0346	0.109	-0.0693	0.0474	0.143	1.211	0.226	0.4511	0.0355	4.2900	0.1579	0.0181	NA	234.1	
Gupta_2023_raw__BD	Gupta_2023_raw	BD	OK	70	0.0115	0.0224	0.607	0.0141	0.0305	0.643	-0.324	0.746	0.4511	0.0355	2.0934	0.0898	-0.0155	NA	249.1	
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	OK	70	-0.0032	0.0111	0.772	-0.0049	0.0150	0.743	0.415	0.678	0.4511	0.0355	0.5910	0.0194	-0.0959	NA	264.5	
Gupta_2023_raw__ADHD	Gupta_2023_raw	ADHD	OK	63	-0.0339	0.0151	0.025	-0.0445	0.0205	0.030	1.783	0.075	0.4511	0.0355	0.5445	0.0252	-0.0656	NA	277.8	
Gupta_2023_raw__ASD	Gupta_2023_raw	ASD	OK	67	-0.0781	0.0265	0.003	-0.1111	0.0359	0.002	3.166	0.002	0.4511	0.0355	1.1456	0.0883	-0.1097	NA	247.8	
Gupta_2023_raw__F3_NDev	Gupta_2023_raw	F3_NDev	OK	57	-0.0851	0.0210	5.16e-05	-0.1172	0.0290	5.19e-05	3.502	4.61e-04	0.4511	0.0355	0.8664	0.0507	-0.0911	NA	229.2	
Gupta_2023_adj__SCZ	Gupta_2023_adj	SCZ	OK	41	-0.0340	0.0367	0.354	-0.0437	0.0477	0.360	0.772	0.440	0.2537	0.0333	4.2900	0.1579	0.0084	NA	253.2	
Gupta_2023_adj__BD	Gupta_2023_adj	BD	OK	41	-0.0288	0.0317	0.363	-0.0378	0.0420	0.369	0.988	0.323	0.2537	0.0333	2.0934	0.0898	0.0252	NA	255.4	
Gupta_2023_adj__MDD	Gupta_2023_adj	MDD	OK	41	0.0082	0.0112	0.465	0.0097	0.0149	0.514	-0.533	0.594	0.2537	0.0333	0.5910	0.0194	-0.0212	NA	228.3	
Gupta_2023_adj__ADHD	Gupta_2023_adj	ADHD	OK	37	-0.0363	0.0187	0.052	-0.0460	0.0248	0.064	1.659	0.097	0.2537	0.0333	0.5445	0.0252	0.0521	NA	248.6	
Gupta_2023_adj__ASD	Gupta_2023_adj	ASD	OK	40	-0.0563	0.0344	0.102	-0.0761	0.0455	0.094	1.867	0.062	0.2537	0.0333	1.1456	0.0883	-0.0444	NA	264.1	
Gupta_2023_adj__F3_NDev	Gupta_2023_adj	F3_NDev	OK	33	-0.0746	0.0278	0.007	-0.0981	0.0385	0.011	3.435	5.92e-04	0.2537	0.0333	0.8664	0.0507	0.0212	NA	177.8	
