pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	beta	SE	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Inverse variance weighted	0.00362	0.00361	0.317	3.36e-07	6.79409e-04	0.488	NA	0.00558	0.099	1.000	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	MR Egger	-0.00733	0.01618	0.651	3.06e-07	6.79409e-04	0.488	NA	0.00558	0.099	1.000	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Weighted median	0.00459	0.00453	0.311	NA	6.79409e-04	0.488	NA	0.00558	0.099	1.000	FALSE
REV_SCZ__Longchamps_2022	SCZ	Longchamps_2022	5e-08	OK	197	197	44.5	Robust adjusted profile score (RAPS)	0.00366	0.00362	0.313	NA	6.79409e-04	0.488	NA	0.00558	0.099	1.000	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Inverse variance weighted	-8.97444e-05	0.00336	0.979	0.024	4.69756e-04	0.607	0.027	NA	NA	1.000	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	MR Egger	-0.00770	0.01513	0.611	0.022	4.69756e-04	0.607	0.027	NA	NA	1.000	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Weighted median	0.00000e+00	0.00466	1.000	NA	4.69756e-04	0.607	0.027	NA	NA	1.000	FALSE
REV_SCZ__Chong_2022	SCZ	Chong_2022	5e-08	OK	197	197	44.5	Robust adjusted profile score (RAPS)	-2.14539e-04	0.00360	0.952	NA	4.69756e-04	0.607	0.027	NA	NA	1.000	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	Inverse variance weighted	-0.00689	0.00687	0.316	3.67e-14	0.00307	0.099	NA	-0.00568	0.385	1.000	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	MR Egger	-0.05651	0.03068	0.067	1.03e-13	0.00307	0.099	NA	-0.00568	0.385	1.000	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	Weighted median	-0.00687	0.00774	0.375	NA	0.00307	0.099	NA	-0.00568	0.385	1.000	FALSE
REV_SCZ__Gupta_2023_raw	SCZ	Gupta_2023_raw	5e-08	OK	190	190	44.6	Robust adjusted profile score (RAPS)	-0.01075	0.00717	0.133	NA	0.00307	0.099	NA	-0.00568	0.385	1.000	FALSE
REV_SCZ__Gupta_2023_adj	SCZ	Gupta_2023_adj	5e-08	OK	190	190	44.6	Inverse variance weighted	0.00178	0.00618	0.773	6.94e-07	0.00191	0.253	NA	0.00176	0.766	1.000	FALSE
REV_SCZ__Gupta_2023_adj	SCZ	Gupta_2023_adj	5e-08	OK	190	190	44.6	MR Egger	-0.02920	0.02771	0.293	8.17e-07	0.00191	0.253	NA	0.00176	0.766	1.000	FALSE
REV_SCZ__Gupta_2023_adj	SCZ	Gupta_2023_adj	5e-08	OK	190	190	44.6	Weighted median	-0.00165	0.00755	0.827	NA	0.00191	0.253	NA	0.00176	0.766	1.000	FALSE
REV_SCZ__Gupta_2023_adj	SCZ	Gupta_2023_adj	5e-08	OK	190	190	44.6	Robust adjusted profile score (RAPS)	-5.10966e-04	0.00631	0.935	NA	0.00191	0.253	NA	0.00176	0.766	1.000	FALSE
REV_BD__Longchamps_2022	BD	Longchamps_2022	5e-08	OK	66	66	37.9	Inverse variance weighted	0.00941	0.00680	0.167	0.049	-9.71517e-04	0.627	0.006	NA	NA	1.000	FALSE
REV_BD__Longchamps_2022	BD	Longchamps_2022	5e-08	OK	66	66	37.9	MR Egger	0.02700	0.03666	0.465	0.043	-9.71517e-04	0.627	0.006	NA	NA	1.000	FALSE
