Supplementary Table 17 — Rare/low-frequency-instrument sensitivity of the forward MR				
Forward MR repeated after excluding low-minor-allele-frequency (MAF) instruments. MAF from harmonized exposure allele frequencies (Longchamps, Gupta raw/adjusted); Chong instruments matched on the shared low-MAF variant set. Pooled point estimate = inverse-variance-weighted; p = correlated-IVW under equicorrelation (rho=0.70) using the exact a'Sigma-a covariance, identical to the primary design-effect analysis (Supplementary Table 12). Per-instrument beta/SE from Supplementary Table 3; the all-instruments rows reproduce the primary pooled estimates exactly (ASD p=5.97e-3, F3 p=1.04e-2, ADHD p=1.73e-1).				
outcome	instrument set	pooled beta	design-effect-corrected p	significant (q-family analogue)
ASD	all instruments	-0.182	5.97e-03	yes
ASD	excluding MAF < 5%	-0.225	1.08e-03	yes (strengthened)
ASD	excluding MAF < 1%	-0.182	5.97e-03	yes (unchanged)
F3 (neurodevelopmental)	all instruments	-0.087	1.04e-02	nominal
F3 (neurodevelopmental)	excluding MAF < 5%	-0.081	2.72e-02	nominal (retained)
ADHD	all instruments	-0.079	1.73e-01	no
ADHD	excluding MAF < 5%	-0.062	3.17e-01	no
Low-frequency instruments (MAF < 5%) excluded, examples				
rsID	approx MAF	note		
rs5030394	0.005	MAF < 1%		
rs112271280	0.010	MAF < 1%		
rs17850455	0.012	POLG2 (featured mtDNA-replication instrument)		
rs74874677	0.023	DGUOK (featured mtDNA-maintenance instrument)		
